16 16
3
5
7
7 11
0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0
0; 0; 1; 1; 1; 0; 1; 1; 0; 0; 0; 5; 0; 0; 0; 0; 0
0; 0; 1; 1; 1; 0; 1; 1P; 1; 0; 0; 5P; 5; 0; 0; 0; 0
0; 0; 1; 1; 1; 1; 1; 1; 1; 5; 5; 5; 5; 0; 0; 0; 0
1; 1; 1; 1; 1; 1; 1; 1; 5; 5; 5; 5; 5; 5; 5; 5; 5
0; 0; 0; 1; 1; 1; 1; 1; 5; 5; 5; 5; 5; 5; 5; 5; 5
0; 0; 2; 2; 2; 2; 2; 2; 5; 5; 5; 5; 5; 5; 5; 5; 5
0; 0; 2; 2; 2; 2; 2; 2; 6; 6; 3; 3M; 3; 3; 3; 3; 0
2; 2; 2; 2; 2; 2; 2; 2; 6; 6; 3; 3M; 3; 3; 3; 3; 3
0; 0; 0; 2; 2P; 2; 2; 2; 6; 6; 3M; 3M; 3; 3; 3; 3; 3
4; 4; 4; 2; 2; 2; 2; 2; 6; 6; 6M; 3; 3; 3; 3; 3; 0
4; 4; 4; 2; 2; 2M; 2; 2M; 6; 6; 6; 3; 3; 3; 3; 3; 3
0; 0; 4; 4; 4; 4; 4; 4; 6; 6P; 6; 3; 3; 3; 3; 3; 0
0; 0; 4; 4; 4; 4P; 4; 4; 6; 6; 6; 3; 3; 3; 3; 3; 0
0; 0; 4; 4; 4; 4; 4; 4; 6; 6; 6; 3; 3; 3; 3; 3; 0
0; 0; 0; 0; 0; 0; 0; 4; 6; 6; 0; 0; 0; 3; 3; 3; 0
